DiseaseName	DiseaseID	ParentIDs	Synonyms
Elbow Fractures	MESH:D000092482	MESH:D000092464|MESH:D050723	Elbow Fracture|Fracture, Elbow|Fracture, Proximal Radial|Fracture, Proximal Radius|Fracture, Proximal Ulna|Proximal Radial Fracture|Proximal Radial Fractures|Proximal Radius Fracture|Proximal Radius Fractures|Proximal Ulna Fracture|Proximal Ulna Fractures|Radial Fracture, Proximal|Radius Fracture, Proximal|Ulna Fracture, Proximal
Elbow Injuries	MESH:D000092464	MESH:D001134	Elbow Injury|Elbow Joint Injuries|Elbow Joint Injury|Injury, Elbow|Injury, Elbow Joint|Joint Injury, Elbow
Elbow Tendinopathy	MESH:D000070639	MESH:D000092464|MESH:D052256	Elbow Tendinopathies|Epicondylitis, Medial|Golfer's Elbow|Golfers Elbow|Medial Epicondylitides|Medial Epicondylitis|Tendinopathies, Elbow|Tendinopathy, Elbow
Electric Injuries	MESH:D004556	MESH:D014947	Accidental Electrocution|Accidental Electrocutions|Electric Injury|Electrocution, Accidental|Electrocutions, Accidental|Injuries, Electric|Injury, Electric
Elejalde Disease	MESH:C536203	MESH:D010859|MESH:D020752	Melanolysosomal neurocutaneous syndrome|Neuroectodermal melanolysosomal disease|Neuro-ectodermal melanolysosomal syndrome
Elephantiasis	MESH:D004604	MESH:D008209	Bigfoot Disease|Bigfoot Diseases|Disease, Bigfoot|Disease, Microcrystal|Diseases, Bigfoot|Diseases, Microcrystal|Elephantiases|Elephantiases, Endemic|Elephantiases, Endemic Non-Filarial|Elephantiasis, Endemic|Elephantiasis, Endemic Non-Filarial|Elephantiasis Nostras Verrucosa|Elephantiasis Nostras Verrucosas|Endemic Elephantiases|Endemic Elephantiasis|Endemic Non-Filarial Elephantiases|Endemic Non Filarial Elephantiasis|Endemic Non-Filarial Elephantiasis|foot, Mossy|foots, Mossy|Lymphostatic Verrucoses|Lymphostatic Verrucosis|Microcrystal Disease|Microcrystal Diseases|Mossy foot|Mossy foots|Non-Filarial Elephantiases, Endemic|Non-Filarial Elephantiasis, Endemic|Nostras Verrucosa, Elephantiasis|Nostras Verrucosas, Elephantiasis|Podoconioses|Podoconiosis|Verrucosa, Elephantiasis Nostras|Verrucosas, Elephantiasis Nostras|Verrucoses, Lymphostatic|Verrucosis, Lymphostatic
Elephantiasis, Filarial	MESH:D004605	MESH:D000096724|MESH:D005368|MESH:D008209	Bancroftian Elephantiases|Bancroftian Elephantiasis|Bancroftian Filariases|Bancroftian Filariasis|Brugian Filariases|Brugian Filariasis|Brugoa malayi Infection|Brugoa malayi Infections|Elephantiasis, Bancroftian|Elephantiasis, Malayi|Filarial Elephantiases|Filarial Elephantiasis|Filariasis, Bancroftian|Filariasis, Brugian|Filariasis, Lymphatic|Filariasis, Malayi|Infection, Brugoa malayi|Infection, Wuchereria bancrofti|Lymphatic Filariases|Lymphatic Filariasis|Malayi Elephantiases|Malayi Elephantiasis|Malayi Filariases|Malayi Filariasis|Wuchereria bancrofti Infection|Wuchereria bancrofti Infections
Elimination Disorders	MESH:D019960	MESH:D001523	Disorder, Elimination|Disorders, Elimination|Elimination Disorder
Elliott Ludman Teebi syndrome	MESH:C536204	MESH:D000015|MESH:D008607|MESH:D012871	
Elliptocytosis 1	MESH:C567520	MESH:D004612	4.1-Minus Trait|4.1- TRAIT|EL1|Elliptocytosis, Rhesus-Linked Type|Protein 4.1 of Erythrocyte Membrane, Defect of
Elliptocytosis 2	MESH:C565058	MESH:D004612	EL2|Elliptocytosis, Rhesus-Unlinked Type
Elliptocytosis 3	MESH:C566678	MESH:D004612	
Elliptocytosis 4	MESH:C566231	MESH:D004612	EL4|ELLIPTOCYTOSIS 4|ELLIPTOCYTOSIS, STOMATOCYTIC HEREDITARY|HE, STOMATOCYTIC|Ovalocytosis, Malaysian-Melanesian-Filipino Type|OVALOCYTOSIS, SOUTHEAST ASIAN|SAO
Elliptocytosis, Atypical	MESH:C565598	MESH:D004612	
Elliptocytosis, Hereditary	MESH:D004612	MESH:D000745	Elliptocytoses, Hereditary|Hereditary Elliptocytoses|Hereditary Elliptocytosis|Hereditary Ovalocytoses|Hereditary Ovalocytosis|Ovalocytoses, Hereditary|Ovalocytosis, Hereditary
Ellis-Van Creveld Syndrome	MESH:D004613	MESH:D004476|MESH:D010009	Chondroectodermal Dysplasia|Chondroectodermal Dysplasias|Dysplasia, Chondroectodermal|Dysplasia, Ellis-Van Creveld|Dysplasia, Mesoectodermal|Ellis Van Creveld Dysplasia|Ellis-Van Creveld Dysplasia|Ellis Van Creveld Syndrome|EVC|Mesoectodermal Dysplasia|Mesoectodermal Dysplasias|Syndrome, Ellis-Van Creveld
Ellis Yale Winter syndrome	MESH:C536205	MESH:D000015|MESH:D006330|MESH:D008831	
Emaciation	MESH:D004614	MESH:D013851	Emaciations
Emanuel syndrome	MESH:C535733	MESH:D002972|MESH:D006330|MESH:D008607|MESH:D009123|MESH:D025063	22) SYNDROME|Der(22) Syndrome Due To 3:1 Meiotic Disjunction Events|Supernumary Der(22) Syndrome|Supernumary Der(22)T(11;22) Syndrome|Supernumary Derivative 22 Chromosome Syndrome|Supernumerary der(22) syndrome|SUPERNUMERARY DER(22)t(11|Supernumerary der(22)t(11;22) syndrome
Embolic Stroke	MESH:D000083262	MESH:D000083242	Cardio embolic Stroke|Cardio-embolic Stroke|Cardioembolic Stroke|Cardio-embolic Strokes|Cardioembolic Strokes|Embolic Strokes|Stroke, Cardio-embolic|Stroke, Cardioembolic|Stroke, Embolic|Strokes, Cardio-embolic|Strokes, Cardioembolic|Strokes, Embolic
Embolism	MESH:D004617	MESH:D016769	Embolisms|Embolus
Embolism, Air	MESH:D004618	MESH:D004617	Air Embolism|Air Embolisms|Embolism, Gas|Embolisms, Air|Embolisms, Gas|Gas Embolism|Gas Embolisms
Embolism, Amniotic Fluid	MESH:D004619	MESH:D004617|MESH:D011249	Amniotic Fluid Embolism|Amniotic Fluid Embolisms|Embolisms, Amniotic Fluid
Embolism and Thrombosis	MESH:D016769	MESH:D014652	Thrombosis and Embolism
Embolism, Cholesterol	MESH:D017700	MESH:D004620	Atheroembolism|Atheroembolisms|Cholesterol Embolism|Cholesterol Embolisms|Embolisms, Cholesterol
Embolism, Fat	MESH:D004620	MESH:D004617	Embolisms, Fat|Fat Embolism|Fat Embolisms|Fat Embolism Syndrome
Embolism, Paradoxical	MESH:D019320	MESH:D013923	Crossed Embolism|Crossed Embolisms|Embolism, Crossed|Embolisms, Crossed|Embolisms, Paradoxical|Paradoxical Embolism|Paradoxical Embolisms
Embryo Loss	MESH:D020964	MESH:D000022|MESH:D003643	Blastocyst Disintegration|Death, Embryo|Disintegration, Blastocyst|Disintegration of Blastocyst|Disintegration of Embryo|Embryo Death|Embryo Deaths|Embryo Disintegration|Embryo Resorption|Resorption, Embryo
Emergence Delirium	MESH:D000071257	MESH:D003693|MESH:D011183	Agitated Emergence|Agitation, Emergence|Agitations, Emergence|Anesthesia Emergence Delirium|Delirium, Anesthesia Emergence|Delirium, Emergence|Delirium, Postoperative|Delirium, Post-Operative|Emergence, Agitated|Emergence Agitation|Emergence Delirium, Anesthesia|Emergence Excitement|Excitement, Emergence|Excitement, Postanesthetic|Postanesthetic Excitement|Postoperative Delirium|Post Operative Delirium|Post-Operative Delirium
Emergencies	MESH:D004630	MESH:D020969	Emergency
Emery-Dreifuss Muscular Dystrophy 4	MESH:C567831	MESH:D000083144	EDMD4|Emery-Dreifuss Muscular Dystrophy 4, Autosomal Dominant
Emery-Dreifuss Muscular Dystrophy 5	MESH:C567830	MESH:D000083144	EDMD5
Emery-Dreifuss Muscular Dystrophy, Atypical, Autosomal Recessive	MESH:C567633	MESH:D000083144	Emery-Dreifuss Muscular Dystrophy 3, Autosomal Recessive
emmonsiosis	MESH:C000656884	MESH:D009181	chrysosporium infection|Emergomyces africanus infection|Emergomycosis|Emmonsia helica infection|Emmonsia pasteurian infection
Emotional Exhaustion	MESH:D000097815	MESH:D005221	Emotional Exhaustions|Emotional Fatigue|Exhaustion, Emotional|Fatigue, Emotional
Emphysema	MESH:D004646	MESH:D010335	
Emphysema, Congenital, With Deafness, Penoscrotal Web, And Mental Retardation	MESH:C566519	MESH:D003638|MESH:D004646|MESH:D008607	
Emphysema, Hereditary Pulmonary	MESH:C565057	MESH:D011656	
Emphysematous Cholecystitis	MESH:D041882	MESH:D041881	Cholecystitis, Emphysematous
emphysematous pyelitis	MESH:C000730587	MESH:D004646|MESH:D011702	
Emphysematous Pyelonephritis	MESH:D000098985	MESH:D004646|MESH:D011704	Emphysematous Pyelonephritides|Pyelonephritis, Emphysematous
Empty delta sign	MESH:C000721352	MESH:D012851	
Empty Sella Syndrome	MESH:D004652	MESH:D010900	Empty Sella Syndrome, Primary|Empty Sella Syndromes|Empty Sella Syndrome, Secondary|Empty Sella Turcica|Empty Sella Turcicas|Empty Sella Turcica Syndrome|Primary Empty Sella Syndrome|Secondary Empty Sella Syndrome|Sella Turcica, Empty|Sella Turcicas, Empty
Empyema	MESH:D004653	MESH:D013492	
Empyema, Pleural	MESH:D016724	MESH:D004653|MESH:D010995|MESH:D012141	Empyemas, Pleural|Empyemas, Thoracic|Empyema, Thoracic|Pleural Empyema|Pleural Empyemas|Pyothorax|Thoracic Empyema|Thoracic Empyemas
Empyema, Subdural	MESH:D013354	MESH:D004653|MESH:D020819	Abscess, Intracranial, Subdural|Subdural Empyema|Subdural Empyemas
Empyema, Tuberculous	MESH:D004654	MESH:D014396|MESH:D016724	Empyema, Pleural, Tuberculous|Empyemas, Tuberculous|Tuberculous Empyema|Tuberculous Empyemas
Enamel Hypoplasia, Cataracts, and Aqueductal Stenosis	MESH:C563430	MESH:D002386|MESH:D003744|MESH:D006849	
enamel opacities	MESH:C000721947	MESH:D000094603	dental enamel opacities|dental enamel opacity|enamel opacity
enamel pearl	MESH:C000723629	MESH:D000094602	enamel pearls
Encephalitis	MESH:D004660	MESH:D000090862|MESH:D001927	Brain Inflammation|Brain Inflammations|Encephalitis, Rasmussen|Inflammation, Brain|Rasmussen Encephalitis|Rasmussen's Syndrome|Rasmussen Syndrome
Encephalitis, Arbovirus	MESH:D004671	MESH:D000096724|MESH:D001102|MESH:D012327|MESH:D018792	Arboviral Encephalitides|Arboviral Encephalitis|Arbovirus Encephalitides|Arbovirus Encephalitis|Arthropod-Borne Encephalitides|Arthropod Borne Encephalitis|Arthropod-Borne Encephalitis|Arthropod-Borne Viral Encephalitides|Arthropod Borne Viral Encephalitis|Arthropod-Borne Viral Encephalitis|Australian Encephalitis|Encephalitis, Arboviral|Encephalitis, Arthropod Borne|Encephalitis, Arthropod-Borne|Encephalitis, Arthropod-Borne Viral|Encephalitis, Australian|Encephalitis, Epidemic|Encephalitis, Mosquito Borne|Encephalitis, Mosquito-Borne|Encephalitis, Murray Valley|Epidemic Encephalitides|Epidemic Encephalitis|Mosquito-Borne Encephalitides|Mosquito Borne Encephalitis|Mosquito-Borne Encephalitis|Murray Valley Encephalitis|Valley Encephalitis, Murray|Viral Encephalitis, Arthropod Borne|Viral Encephalitis, Arthropod-Borne
Encephalitis, California	MESH:D004670	MESH:D002044|MESH:D004671	California Encephalitis|California Encephalitis Virus Infection|California Viral Encephalitis|Disease, Tahyna Virus|Encephalitis, California Viral|Encephalitis, California, Viral|Encephalitis, La Crosse|Infection, Tahyna Virus|Jamestown Canyon Virus Disease|Jamestown Canyon Virus Encephalitis|La Crosse Encephalitis|La Crosse Encephalitis Virus Infection|Tahyna Virus Disease|Tahyna Virus Infection|Viral Encephalitis, California|Virus Disease, Tahyna|Virus Infection, Tahyna
Encephalitis, Herpes Simplex	MESH:D020803	MESH:D006566|MESH:D018792	Acute Necrotizing Encephalitis, Herpetic|Encephalitides, Herpes Simplex|Encephalitides, Herpetic|Encephalitis, Herpes|Encephalitis, Herpetic|ENCEPHALOPATHY, ACUTE, INFECTION-INDUCED (HERPES-SPECIFIC), SUSCEPTIBILITY TO, 1|ENCEPHALOPATHY, ACUTE, INFECTION-INDUCED (HERPES-SPECIFIC), SUSCEPTIBILITY TO, 5|ENCEPHALOPATHY, ACUTE, INFECTION-INDUCED (HERPES-SPECIFIC), SUSCEPTIBILITY TO, 6|ENCEPHALOPATHY, ACUTE, INFECTION-INDUCED (HERPES-SPECIFIC), SUSCEPTIBILITY TO, 7|Herpes Encephalitis|Herpes Simplex Encephalitides|Herpes Simplex Encephalitis|HERPES SIMPLEX ENCEPHALITIS, SUSCEPTIBILITY TO, 1|HERPES SIMPLEX ENCEPHALITIS, SUSCEPTIBILITY TO, 2, INCLUDED|HERPES SIMPLEX ENCEPHALITIS, SUSCEPTIBILITY TO, 3|HERPES SIMPLEX ENCEPHALITIS, SUSCEPTIBILITY TO, 4|HERPES SIMPLEX ENCEPHALITIS, SUSCEPTIBILITY TO, 5|Herpes Simplex Meningoencephalitides|Herpes Simplex Meningoencephalitis|Herpetic Acute Necrotizing Encephalitis|Herpetic Encephalitides|Herpetic Encephalitis|Herpetic Meningoencephalitides|Herpetic Meningoencephalitis|IIAE1|IIAE2, INCLUDED|IIAE5|IIAE6|IIAE7|IMD132A|IMMUNODEFICIENCY 132A|IMMUNODEFICIENCY 83, SUSCEPTIBILITY TO VIRAL INFECTIONS;IMD83 ENCEPHALOPATHY, ACUTE, INFECTION-INDUCED (HERPES-SPECIFIC),|Meningoencephalitides, Herpes Simplex|Meningoencephalitides, Herpetic|Meningoencephalitis, Herpes Simplex|Meningoencephalitis, Herpes Simplex Virus|Meningoencephalitis, Herpetic|PNEUMONITIS, INFECTION (VIRAL)-INDUCED, SUSCEPTIBILITY TO, INCLUDED|SUSCEPTIBILITY TO, 2, INCLUDED
Encephalitis, Japanese	MESH:D004672	MESH:D004671|MESH:D018177	Encephalitis, Japanese B|Japanese B Encephalitis|Japanese B Viral Encephalitis|Japanese Encephalitis|Viral Encephalitis, Japanese B
Encephalitis, St. Louis	MESH:D004674	MESH:D004671|MESH:D018177	Encephalitis, Saint Louis|Encephalitis, Viral, St. Louis|Lethargic Encephalitis, Type C|Louis Meningoencephalitides, St.|Meningoencephalitides, St. Louis|Meningoencephalitis, St. Louis|Saint Louis Encephalitis|St. Louis Encephalitis|St. Louis Meningoencephalitides|St. Louis Meningoencephalitis|St. Louis Viral Encephalitis|Type C Lethargic Encephalitis
Encephalitis, Tick-Borne	MESH:D004675	MESH:D001102|MESH:D004671|MESH:D017282|MESH:D018177	Central European Encephalitis|Disease, Powassan Virus|Encephalitis, Central European|Encephalitis, European Tick Borne|Encephalitis, European Tick-Borne|Encephalitis, Far Eastern Russian|Encephalitis, Louping Ill|Encephalitis, Powassan|Encephalitis, Russian Spring Summer|Encephalitis, Russian Spring-Summer|Encephalitis, Tick Borne|European Tick Borne Encephalitis|European Tick-Borne Encephalitis|Far Eastern Russian Encephalitis|Louping Ill Encephalitis|Powassan Encephalitides|Powassan Encephalitis|Powassan Virus Disease|Powassan Virus Diseases|Russian Spring Summer Encephalitis|Russian Spring-Summer Encephalitis|Spring-Summer Encephalitis, Russian|Tick Borne Encephalitis|Tick-Borne Encephalitis|Tick-Borne Encephalitis, European|Virus Disease, Powassan|Virus Diseases, Powassan
Encephalitis, Varicella Zoster	MESH:D020804	MESH:D000073618|MESH:D018792	Encephalitis, Herpes Zoster|Encephalitis, Human Herpesvirus 3|Encephalitis, Varicella|Encephalitis, VZ Virus|Herpes Zoster Encephalitis|Herpes Zoster Meningoencephalitis|Meningoencephalitis, Herpes Zoster|Varicella Encephalitides|Varicella Encephalitis|Varicella Zoster Encephalitis|Virus Encephalitis, VZ|Zoster Encephalitis, Herpes|Zoster Encephalitis, Varicella
Encephalitis, Viral	MESH:D018792	MESH:D000069544|MESH:D020805	Encephalomyelitis, Infectious, Viral|Encephalomyelitis, Viral Infectious|Infectious Encephalomyelitis, Viral|Viral Encephalitis|Viral Infectious Encephalomyelitis
Encephalitozoonosis	MESH:D016890	MESH:D016881	Encephalitozoonoses
Encephalocardiomyopathy, Mitochondrial, Neonatal, Due To Atp Synthase Deficiency	MESH:C567528	MESH:D017237	
Encephalocele	MESH:D004677	MESH:D006547|MESH:D009436	Acquired Encephalocele|Acquired Encephaloceles|Bifid Cranium|Bifid Craniums|Bifidum, Cranium|Bifidums, Cranium|Cephalocele|Cephaloceles|Cerebellar Hernia|Cerebellar Hernias|Cerebellar Herniation|Cerebellar Herniations|Cerebral Hernia|Cerebral Hernias|Cranial Meningoencephalocele|Cranial Meningoencephaloceles|Craniocele|Cranioceles|Cranium, Bifid|Cranium Bifidum|Cranium Bifidums|Craniums, Bifid|Encephalocele, Acquired|Encephalocele, Frontal|Encephalocele, Occipital|Encephaloceles|Encephaloceles, Acquired|Encephaloceles, Frontal|Encephalocele, Sincipital|Encephaloceles, Occipital|Encephaloceles, Sincipital|Frontal Encephalocele|Frontal Encephaloceles|Hernia, Cerebellar|Hernia, Cerebral|Hernias, Cerebellar|Hernias, Cerebral|Hernias, Tonsillar|Herniation, Cerebellar|Herniations, Cerebellar|Herniations, Tonsillar|Herniation, Tonsillar|Hernia, Tonsillar|Meningoencephalocele, Cranial|Meningoencephaloceles, Cranial|Notoencephalocele|Notoencephaloceles|Occipital Encephalocele|Occipital Encephaloceles|Sincipital Encephalocele|Sincipital Encephaloceles|Tonsillar Hernia|Tonsillar Hernias|Tonsillar Herniation|Tonsillar Herniations
Encephaloclastic Proliferative Vasculopathy	MESH:C565593	MESH:D006832	ENCEPHALOCLASTIC PROLIFERATIVE VASCULOPATHY|EPV|FOWLER SYNDROME|Hydranencephaly, Fowler Type|Hydrocephaly-Hydranencephaly due to Cerebral Vasculopathy|HYDROCEPHALY/HYDRANENCEPHALY DUE TO CEREBRAL VASCULOPATHY|PROLIFERATIVE VASCULOPATHY AND HYDRANENCEPHALY-HYDROCEPHALY SYNDROME|PVHH
Encephalocraniocutaneous lipomatosis	MESH:C535736	MESH:D005128|MESH:D008068|MESH:D020752	ECCL|Fishman syndrome
Encephalomalacia	MESH:D004678	MESH:D001927	Cerebromalacia|Cerebromalacias|Encephalomalacia, Multicystic|Encephalomalacias|Encephalomalacias, Multicystic|Multicystic Encephalomalacia|Multicystic Encephalomalacias
Encephalomalacia, Multilocular	MESH:C565597	MESH:D004678	
Encephalomyelitis	MESH:D004679	MESH:D000090862|MESH:D002494	Encephalomyelitis, Inflammatory|Inflammatory Encephalomyelitis|Myeloencephalitides|Myeloencephalitis
Encephalomyelitis, Acute Disseminated	MESH:D004673	MESH:D000094025|MESH:D020278	Acute Disseminated Encephalomyelitides|Acute Disseminated Encephalomyelitis|Disseminated Encephalomyelitis, Acute|Encephalitis, Postvaccinal|Encephalitis, Post Vaccinal|Encephalitis, Post-Vaccinal|Encephalitis, Vaccination|Encephalomyelitis, Postexanthem|Encephalomyelitis, Postinfectious|Encephalomyelitis, Post-Vaccinal|Postexanthem Encephalomyelitis|Postinfectious Encephalomyelitis|Post-Vaccinal Encephalitides|Postvaccinal Encephalitis|Post Vaccinal Encephalitis|Post-Vaccinal Encephalitis|Post-Vaccinal Encephalomyelitides|Post Vaccinal Encephalomyelitis|Post-Vaccinal Encephalomyelitis|Vaccination Encephalitis
Encephalomyelitis, Autoimmune, Experimental	MESH:D004681	MESH:D020278|MESH:D020721	Allergic Encephalomyelitis|Allergic Encephalomyelitis, Experimental|Autoimmune Encephalomyelitis, Experimental|Autoimmune Experimental Encephalomyelitis|Encephalomyelitis, Allergic|Encephalomyelitis, Autoimmune Experimental|Encephalomyelitis, Experimental Allergic|Encephalomyelitis, Experimental Autoimmune|Experimental Allergic Encephalomyelitides|Experimental Allergic Encephalomyelitis|Experimental Autoimmune Encephalomyelitis|Experimental Encephalomyelitis, Autoimmune
Encephalomyelitis, Eastern Equine	MESH:D020242	MESH:D004683	Eastern Equine Encephalitides|Eastern Equine Encephalitis|Eastern Equine Encephalomyelitides|Eastern Equine Encephalomyelitis|Eastern Equine Encephalomyelitis Virus Infection|Encephalitides, Eastern Equine|Encephalitis, Eastern Equine|Encephalomyelitides, Eastern Equine|Equine Encephalitides, Eastern|Equine Encephalitis, Eastern|Equine Encephalomyelitides, Eastern|Equine Encephalomyelitis, Eastern
Encephalomyelitis, Enzootic Porcine	MESH:D004682	MESH:D004769|MESH:D013553	Disease, Talfan|Disease, Teschen|Enzootic Porcine Encephalomyelitis|Poliomyelitis, Porcine|Porcine Encephalomyelitis, Enzootic|Porcine Poliomyelitis|Talfan Disease|Teschen Disease
Encephalomyelitis, Equine	MESH:D004683	MESH:D004671|MESH:D004679|MESH:D018354|MESH:D018792	Encephalitis, Equine|Equine Encephalitis|Equine Encephalomyelitis|Equine Encephalomyelitis Viral Infections|Equine Encephalomyelitis Virus Infections|Infections, Equine Encephalomyelitis Virus
Encephalomyelitis, Venezuelan Equine	MESH:D004685	MESH:D004683	Encephalitis, Venezuelan Equine|Encephalomyelitides, Venezuelan Equine|Equine Encephalitis, Venezuelan|Equine Encephalomyelitides, Venezuelan|Equine Encephalomyelitis, Venezuelan|Venezuelan Equine Encephalitis|Venezuelan Equine Encephalomyelitides|Venezuelan Equine Encephalomyelitis
Encephalomyelitis, Western Equine	MESH:D020241	MESH:D004683	Encephalitis, Western Equine|Equine Encephalitis, Western|Western Equine Encephalitis|Western Equine Encephalomyelitis
ENCEPHALOPATHY, ACUTE, INFECTION-INDUCED, SUSCEPTIBILITY TO, 3	OMIM:608033	MESH:D004684|MESH:D007239	ANE1|ENCEPHALOPATHY, ACUTE NECROTIZING, SUSCEPTIBILITY TO, 1|IIAE3
ENCEPHALOPATHY, ACUTE, INFECTION-INDUCED, SUSCEPTIBILITY TO, 4	OMIM:614212	MESH:D001927|MESH:D007239	IIAE4
Encephalopathy, Axonal, with Necrotizing Myopathy, Cardiomyopathy, and Cataracts	MESH:C565596	MESH:D001928|MESH:D002386|MESH:D009135|MESH:D009202	
Encephalopathy, Bovine Spongiform	MESH:D016643	MESH:D002418|MESH:D017096	Bovine Spongiform Encephalitis|Bovine Spongiform Encephalopathy|BSE (Bovine Spongiform Encephalopathy)|BSEs (Bovine Spongiform Encephalopathy)|Encephalitis, Bovine Spongiform|Mad Cow Disease|Mad Cow Diseases|Spongiform Encephalopathy, Bovine
ENCEPHALOPATHY DUE TO DEFECTIVE MITOCHONDRIAL AND PEROXISOMAL FISSION 1	OMIM:614388	MESH:D020739|MESH:D028361	EMPF|EMPF1
ENCEPHALOPATHY DUE TO DEFECTIVE MITOCHONDRIAL AND PEROXISOMAL FISSION 2	OMIM:617086	MESH:D020739|MESH:D028361	EMPF2
Encephalopathy, Neonatal Severe, Due To Mecp2 Mutations	MESH:C566878	MESH:D038901	Mecp2-Related Severe Neonatal Encephalopathy
ENCEPHALOPATHY, PROGRESSIVE, EARLY-ONSET, WITH BRAIN ATROPHY AND THIN CORPUS CALLOSUM	OMIM:617193	MESH:D001284|MESH:D001927|MESH:D009421	PEBAT
ENCEPHALOPATHY, PROGRESSIVE, EARLY-ONSET, WITH BRAIN EDEMA AND/OR LEUKOENCEPHALOPATHY, 1	OMIM:617186	MESH:D001929|MESH:D056784	PEBEL|PEBEL1
ENCEPHALOPATHY, PROGRESSIVE, WITH AMYOTROPHY AND OPTIC ATROPHY	OMIM:617207	MESH:D001927|MESH:D009134|MESH:D009896	PEAMO
ENCEPHALOPATHY, PROGRESSIVE, WITH OR WITHOUT LIPODYSTROPHY	OMIM:615924	MESH:D001927|MESH:D008060	PELD
Encephalopathy, Spastic Tetraparesis, and Hypogonadism	MESH:C565722	MESH:D007006|MESH:D009128|MESH:D010291|MESH:D020739	
Encephalopathy with Intracranial Calcification, Growth Hormone Deficiency, Microcephaly, and Retinal Degeneration	MESH:C565594	MESH:D001928|MESH:D002114|MESH:D004393|MESH:D008607|MESH:D008831|MESH:D012162	
Enchondromatosis	MESH:D004687	MESH:D010009	Chondrodysplasia with Hemangioma|Chondroplasia Angiomatosis|Disease, Ollier|Disease, Ollier's|Dyschondrodysplasia with Hemangiomas|DYSCHONDROPLASIA|Dyschondroplasia and Cavernous Hemangioma|Enchondroma, Multiple|Enchondromas, Multiple|Enchondromatoses|Enchondromatosis, Multiple|ENCHONDROMATOSIS, MULTIPLE, OLLIER TYPE|Enchondromatosis with Hemangiomata|Enchondromatosis with Multiple Cavernous Hemangiomas|Enchondroses, Multiple|Enchondrosis, Multiple|Hemangiomata with Dyschondroplasia|Hemangiomatosis Chondrodystrophica|Kast Syndrome|Maffucci Syndrome|Multiple Angiomas and Endochondromas|Multiple Enchondroma|Multiple Enchondromas|Multiple Enchondroses|Multiple Enchondrosis|Ollier Disease|Ollier's Disease|Olliers Disease|OSTEOCHONDROMATOSIS|Syndrome, Maffucci
Encopresis	MESH:D004688	MESH:D012817|MESH:D019960	
Endarteritis	MESH:D004692	MESH:D001167	Endarteritides
Endemic treponematosis caused by Treponema carateum	MESH:C531782	MESH:D010874	
Endocardial Cushion Defects	MESH:D004694	MESH:D006343	Cushion Defect, Endocardial|Cushion Defects, Endocardial|Defect, Endocardial Cushion|Defects, Endocardial Cushion|Endocardial Cushion Defect|Persistent Common Atrioventricular Canal
Endocardial Fibroelastosis	MESH:D004695	MESH:D009202	Endocardial Fibroelastoses|Endomyocardial Fibroelastosis|Fibroelastoses, Endocardial|Fibroelastosis, Endocardial
Endocardial Fibroelastosis and Coarctation of Abdominal Aorta	MESH:C565592	MESH:D001017|MESH:D004695	
Endocarditis	MESH:D004696	MESH:D006331	Endocarditides|Endocarditides, Infective|Endocarditis, Infective|Infective Endocarditides|Infective Endocarditis
Endocarditis, Bacterial	MESH:D004697	MESH:D001424|MESH:D004696|MESH:D053821	Bacterial Endocarditides|Bacterial Endocarditis|Endocarditides, Bacterial
Endocarditis, Non-Infective	MESH:D059905	MESH:D004696	Endocarditides, Marantic|Endocarditides, Non-Infective|Endocarditis, Marantic|Endocarditis, Non-Bacterial Thrombotic|Endocarditis, Non Infective|Marantic Endocarditides|Marantic Endocarditis|Non-Bacterial Thrombotic Endocarditis|Non-Infective Endocarditides|Non Infective Endocarditis|Non-Infective Endocarditis
Endocarditis, Subacute Bacterial	MESH:D004698	MESH:D004697|MESH:D013290	Bacterial Endocarditides, Subacute|Bacterial Endocarditis, Subacute|Endocarditides, Subacute Bacterial|Endocarditis Lenta|Subacute Bacterial Endocarditides|Subacute Bacterial Endocarditis
Endocrine-Cerebroosteodysplasia	MESH:C567210	MESH:D002493|MESH:D004700	ECO
Endocrine Gland Neoplasms	MESH:D004701	MESH:D004700|MESH:D009371	Cancer, Endocrine|Cancer, Endocrine Gland|Cancer of Endocrine Gland|Cancer of the Endocrine Gland|Cancers, Endocrine|Carcinoma, Endocrine Gland|Carcinoma of Endocrine Gland|Endocrine Cancer|Endocrine Cancers|Endocrine Gland Cancer|Endocrine Gland Carcinoma|Endocrine Gland Neoplasm|Neoplasm, Endocrine Gland|Neoplasms, Endocrine Gland
Endocrine System Diseases	MESH:D004700	MESH:C	Disease, Endocrine|Disease, Endocrine System|Diseases, Endocrine|Diseases, Endocrine System|Diseases of Endocrine System|Endocrine Disease|Endocrine Diseases|Endocrine System Disease|System Disease, Endocrine|System Diseases, Endocrine
Endodermal Sinus Tumor	MESH:D018240	MESH:D008649	Endodermal Sinus Tumors|Tumor, Endodermal Sinus|Tumors, Endodermal Sinus|Tumors, Yolk Sac|Tumor, Yolk Sac|Yolk Sac Tumor|Yolk Sac Tumors
Endoleak	MESH:D057867	MESH:D000783|MESH:D019106	Endoleaks|Leak, Perigraft|Perigraft Leak|Perigraft Leaks
Endolymphatic Hydrops	MESH:D018159	MESH:D007759	Hydrops, Endolymphatic
